User_Id,Rec1_Mer_Name,Rec1_Category,Rec2_Mer_Name,Rec2_Category,Rec3_Mer_Name,Rec3_Category
21053,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
26472,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
27075,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
27417,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
1447,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Agra Appliance Arena,Fashion
2709,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Agra Appliance Arena,Fashion
3303,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
7026,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Agra Appliance Arena,Fashion
10231,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
10975,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
13519,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery,Mumbai Fashion Hub,F&B
14734,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Agra Appliance Arena,Fashion
14823,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
16503,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
31199,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
4594,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Jai Hind General Stores,F&B
7039,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
10038,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery,Jai Hind General Stores,F&B
10840,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Agra Appliance Arena,Fashion
21265,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
21702,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
24999,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
26257,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
26333,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
26437,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
26520,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
29328,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery,Agra Appliance Arena,Fashion
33164,Rajasthan Handicrafts,Grocery,Saraswati Fabrics,Grocery,Madurai Music Mania,Grocery
7,Rajasthan Handicrafts,Grocery,Jai Hind General Stores,F&B,Madurai Music Mania,Grocery
24,Rajasthan Handicrafts,Grocery,Madurai Music Mania,Grocery,Agra Appliance Arena,Fashion
38,Rajasthan Handicrafts,Grocery,Jai Hind General Stores,F&B,Madurai Music Mania,Grocery
46,Rajasthan Handicrafts,Grocery,Madurai Music Mania,Grocery,Agra Appliance Arena,Fashion
57,Rajasthan Handicrafts,Grocery,Jai Hind General Stores,F&B,Madurai Music Mania,Grocery
59,Rajasthan Handicrafts,Grocery,Jai Hind General Stores,F&B,Madurai Music Mania,Grocery
60,Rajasthan Handicrafts,Grocery,Agra Appliance Arena,Fashion,Madurai Music Mania,Grocery
61,Rajasthan Handicrafts,Grocery,Madurai Music Mania,Grocery,Agra Appliance Arena,Fashion
74,Rajasthan Handicrafts,Grocery,Jai Hind General Stores,F&B,Madurai Music Mania,Grocery
